feature_set,n_features,best_params,best_cv_score,test_accuracy
maxav+wl+wamp,30,"{'n_neighbors': 3, 'weights': 'distance'}",0.8690476190476191,0.7777777777777778
maxav+wl+mean_freq,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8452380952380952,0.8888888888888888
maxav+wl+median_freq,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7619047619047619,0.7777777777777778
maxav+ssc+zc,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7857142857142857,0.8333333333333334
maxav+ssc+wamp,30,"{'n_neighbors': 3, 'weights': 'uniform'}",0.7738095238095237,0.7222222222222222
maxav+ssc+mean_freq,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8333333333333334,0.7222222222222222
maxav+ssc+median_freq,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7380952380952381,0.7222222222222222
maxav+zc+wamp,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8214285714285713,0.8333333333333334
maxav+zc+mean_freq,30,"{'n_neighbors': 7, 'weights': 'distance'}",0.8214285714285715,0.7222222222222222
maxav+zc+median_freq,30,"{'n_neighbors': 3, 'weights': 'distance'}",0.6904761904761906,0.8055555555555556
maxav+wamp+mean_freq,30,"{'n_neighbors': 3, 'weights': 'distance'}",0.8333333333333334,0.8055555555555556
maxav+wamp+median_freq,30,"{'n_neighbors': 3, 'weights': 'uniform'}",0.7380952380952381,0.7222222222222222
maxav+mean_freq+median_freq,30,"{'n_neighbors': 3, 'weights': 'distance'}",0.6547619047619048,0.75
rms+wl+ssc,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7976190476190476,0.75
rms+wl+zc,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7976190476190476,0.8888888888888888
rms+wl+wamp,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8095238095238094,0.9444444444444444
rms+wl+mean_freq,30,"{'n_neighbors': 3, 'weights': 'distance'}",0.8452380952380952,0.8611111111111112
rms+wl+median_freq,30,"{'n_neighbors': 3, 'weights': 'distance'}",0.7976190476190476,0.8611111111111112
rms+ssc+zc,30,"{'n_neighbors': 3, 'weights': 'distance'}",0.7976190476190476,0.7777777777777778
rms+ssc+wamp,30,"{'n_neighbors': 5, 'weights': 'distance'}",0.75,0.8611111111111112
rms+ssc+mean_freq,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7738095238095237,0.9166666666666666
rms+ssc+median_freq,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.75,0.75
rms+zc+wamp,30,"{'n_neighbors': 3, 'weights': 'distance'}",0.8214285714285715,0.8055555555555556
