n_train,accuracy,test_subject
17,0.16666666666666666,27
18,0.24166666666666667,27
19,0.3,27
20,0.3,27
21,0.2916666666666667,27
22,0.25,27
23,0.26666666666666666,27
24,0.25,27
25,0.25833333333333336,27
26,0.2916666666666667,27
