feature_set,n_features,best_cv_score,test_accuracy
mav+ssc+wamp+mean_freq,40,0.5595238095238094,0.6666666666666666
mav+ssc+wamp+median_freq,40,0.6309523809523809,0.6666666666666666
mav+ssc+mean_freq+median_freq,40,0.4761904761904762,0.6388888888888888
mav+zc+wamp+mean_freq,40,0.5476190476190476,0.8055555555555556
mav+zc+wamp+median_freq,40,0.5714285714285714,0.7777777777777778
mav+zc+mean_freq+median_freq,40,0.5119047619047619,0.75
mav+wamp+mean_freq+median_freq,40,0.5714285714285715,0.6666666666666666
std+maxav+rms+wl,40,0.6428571428571429,0.7222222222222222
std+maxav+rms+ssc,40,0.6071428571428572,0.8055555555555556
std+maxav+rms+zc,40,0.5714285714285715,0.6944444444444444
std+maxav+rms+wamp,40,0.6071428571428571,0.7777777777777778
std+maxav+rms+mean_freq,40,0.6428571428571428,0.6944444444444444
std+maxav+rms+median_freq,40,0.5714285714285715,0.7222222222222222
std+maxav+wl+ssc,40,0.6071428571428571,0.75
std+maxav+wl+zc,40,0.6428571428571429,0.75
std+maxav+wl+wamp,40,0.630952380952381,0.7222222222222222
std+maxav+wl+mean_freq,40,0.6666666666666666,0.6944444444444444
std+maxav+wl+median_freq,40,0.6428571428571429,0.75
std+maxav+ssc+zc,40,0.5595238095238095,0.7777777777777778
std+maxav+ssc+wamp,40,0.6547619047619048,0.7777777777777778
std+maxav+ssc+mean_freq,40,0.6190476190476191,0.75
std+maxav+ssc+median_freq,40,0.5952380952380952,0.75
std+maxav+zc+wamp,40,0.5833333333333334,0.75
std+maxav+zc+mean_freq,40,0.5833333333333333,0.75
std+maxav+zc+median_freq,40,0.5714285714285715,0.8055555555555556
std+maxav+wamp+mean_freq,40,0.5952380952380952,0.6944444444444444
std+maxav+wamp+median_freq,40,0.6071428571428571,0.7777777777777778
std+maxav+mean_freq+median_freq,40,0.6666666666666666,0.7222222222222222
std+rms+wl+ssc,40,0.5952380952380952,0.7777777777777778
std+rms+wl+zc,40,0.6309523809523809,0.7777777777777778
std+rms+wl+wamp,40,0.6428571428571429,0.7777777777777778
std+rms+wl+mean_freq,40,0.5833333333333334,0.6944444444444444
std+rms+wl+median_freq,40,0.6547619047619048,0.7777777777777778
std+rms+ssc+zc,40,0.5476190476190476,0.75
std+rms+ssc+wamp,40,0.6190476190476191,0.75
std+rms+ssc+mean_freq,40,0.5595238095238094,0.6388888888888888
std+rms+ssc+median_freq,40,0.6071428571428571,0.6666666666666666
std+rms+zc+wamp,40,0.5714285714285714,0.8055555555555556
std+rms+zc+mean_freq,40,0.5357142857142857,0.6388888888888888
std+rms+zc+median_freq,40,0.5714285714285714,0.6666666666666666
std+rms+wamp+mean_freq,40,0.5833333333333333,0.7222222222222222
std+rms+wamp+median_freq,40,0.5952380952380952,0.7777777777777778
std+rms+mean_freq+median_freq,40,0.5595238095238094,0.6666666666666666
std+wl+ssc+zc,40,0.5952380952380952,0.7222222222222222
std+wl+ssc+wamp,40,0.5952380952380952,0.6666666666666666
std+wl+ssc+mean_freq,40,0.6190476190476191,0.6666666666666666
std+wl+ssc+median_freq,40,0.5833333333333334,0.6944444444444444
std+wl+zc+wamp,40,0.6071428571428571,0.6666666666666666
std+wl+zc+mean_freq,40,0.6071428571428571,0.6666666666666666
std+wl+zc+median_freq,40,0.6428571428571429,0.6944444444444444
std+wl+wamp+mean_freq,40,0.5833333333333334,0.6388888888888888
std+wl+wamp+median_freq,40,0.6309523809523809,0.7222222222222222
std+wl+mean_freq+median_freq,40,0.6309523809523809,0.6666666666666666
std+ssc+zc+wamp,40,0.6190476190476191,0.7222222222222222
std+ssc+zc+mean_freq,40,0.5952380952380952,0.8055555555555556
std+ssc+zc+median_freq,40,0.5357142857142857,0.7777777777777778
std+ssc+wamp+mean_freq,40,0.6071428571428571,0.6388888888888888
std+ssc+wamp+median_freq,40,0.6071428571428571,0.7222222222222222
std+ssc+mean_freq+median_freq,40,0.5595238095238096,0.7222222222222222
std+zc+wamp+mean_freq,40,0.6071428571428572,0.6388888888888888
std+zc+wamp+median_freq,40,0.5714285714285715,0.75
std+zc+mean_freq+median_freq,40,0.5595238095238095,0.75
std+wamp+mean_freq+median_freq,40,0.5833333333333334,0.6944444444444444
maxav+rms+wl+ssc,40,0.6309523809523809,0.6388888888888888
maxav+rms+wl+zc,40,0.619047619047619,0.7222222222222222
maxav+rms+wl+wamp,40,0.6428571428571428,0.7222222222222222
maxav+rms+wl+mean_freq,40,0.6309523809523809,0.5833333333333334
maxav+rms+wl+median_freq,40,0.7023809523809524,0.75
maxav+rms+ssc+zc,40,0.5595238095238094,0.75
maxav+rms+ssc+wamp,40,0.6547619047619048,0.6666666666666666
maxav+rms+ssc+mean_freq,40,0.5833333333333334,0.6388888888888888
maxav+rms+ssc+median_freq,40,0.5952380952380952,0.75
